Flash Attention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M=4Kib,,,,,,,,,,,,,,,,,,,,,Optimal M,,,,,,,,,,,,,,,,,,
512,0.1413,0.8909,4.4581,20.535,81.034,323.98,1314.3,5305.1,20964,1.176220807,1.028286003,1.03611404,0.8952520088,0.9017819681,0.8961046978,0.8822186715,0.8751767167,0.8888093875,,,,,,,,,,,,,,,,,,,,,
1024,0.4198,2.5813,12.368,49.52,198.11,794.9,3203.6,12805,51501,1.018580276,1.036183318,0.8690976714,0.8739701131,0.8697693201,0.8734432004,0.8648083406,0.8657555642,0.8639249723,,,,,,,,,,,,,,,,,,,,,
2048,0.8473,5.3562,21.866,86.448,348.58,1390.6,5572.5,22090,88185,1.031511861,0.6602815429,0.6729168572,0.6540232278,0.6562625509,0.6549762692,0.6587886945,0.6985966501,0.6576288484,,,,,,,,,,,,,,,,,,,,,
4096,1.7324,6.8916,28.004,113.31,455.48,1831.4,7268.4,28452,113062,0.7055529901,0.6827006791,0.6860448507,0.6848292295,0.7016114868,0.7268210112,0.7455148313,0.7343947701,0.7443438114,,,,,,,,,,,,,,,,,,,,,
The rest of datas are estimated under M=16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flash Attention(M=16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O2 optimization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d\N,16,32,64,128,256,512,1024,2048,4096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0053,0.0224,0.0785,0.2944,1.1931,4.778,19.292,77.142,308.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.01,0.0414,0.13,0.5093,2.0434,8.2905,33.128,133.39,535.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,0.0196,0.064,0.2475,0.9543,3.8329,15.573,62.348,250.79,1012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,0.0347,0.1433,0.5024,2.0299,8.2184,32.901,133.23,534.52,2139.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,0.086,0.303,1.2235,4.9469,19.932,80.077,321.04,1288,5204.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512,0.2366,0.9341,3.7979,15.152,61.232,245.05,982.61,3982.4,16733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1024,1.0753,4.2404,16.552,67.19,268.23,1078.6,4369,20019,93724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2048,2.2444,8.9244,35.876,142.23,558.48,2321.6,10609,46227,191493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4096,4.3241,17.764,71.091,284.66,1165.2,5138.4,23156,94645,388860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O3 optimization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d\N,16,32,64,128,256,512,1024,2048,4096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0041,0.0193,0.0732,0.2597,1.0345,4.2024,16.754,67.496,270.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.0086,0.0362,0.1249,0.4573,1.8384,7.2902,29.258,117.79,475.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,0.018,0.0677,0.2202,0.8955,3.4614,14.166,57.395,233,919.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,0.0406,0.1262,0.4861,1.9294,7.7936,31.428,126.14,520.73,2039.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,0.0949,0.3134,1.231,4.9144,21.35,79.656,320.04,1292.7,5176.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512,0.2422,0.9327,3.9705,15.228,61.169,245.38,982.35,3963.9,16745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1024,1.0716,4.1578,16.624,67.146,270.05,1088.2,4406.2,20362,95009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2048,2.0963,8.4445,34.038,135.85,545.6,2231.2,10090,44109,181466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4096,4.4311,16.803,67.78,271.39,1088.2,4880.5,21786,90101,374135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O2+ASan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d\N,16,32,64,128,256,512,1024,2048,4096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0162,0.0664,0.1703,0.5877,2.2973,9.3145,36.687,146.22,589.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
